customer_id,age,country,signup_date,churned
1,58,India,2020-05-22,0
2,35,USA,2021-10-05,0
3,65,India,2021-05-01,0
4,52,India,2024-12-28,0
5,20,India,2025-03-26,0
6,32,Canada,2021-01-29,0
7,53,USA,2022-03-04,1
8,62,Canada,2022-09-14,0
9,46,Canada,2022-12-03,0
10,18,USA,2025-02-17,0
11,39,UK,2020-07-28,0
12,39,India,2024-07-04,0
13,24,UK,2022-03-12,1
14,56,UK,2021-05-01,1
15,64,Germany,2023-08-26,0
16,42,India,2020-07-12,0
17,58,Canada,2021-05-18,1
18,41,Canada,2022-03-14,0
19,22,India,2021-12-05,0
20,36,India,2023-12-28,1
21,24,Germany,2024-05-19,0
22,58,UK,2023-04-04,0
23,40,USA,2024-08-12,0
24,62,France,2022-08-13,0
25,56,France,2022-01-29,0
26,64,USA,2024-03-27,0
27,42,UK,2020-06-30,1
28,58,France,2024-07-24,0
29,61,UK,2022-05-23,1
30,21,USA,2023-01-02,1
31,38,Germany,2020-11-24,0
32,31,Canada,2020-05-30,1
33,38,USA,2023-06-26,0
34,43,France,2020-10-06,0
35,34,USA,2023-07-10,0
36,53,Canada,2024-08-24,0
37,55,Germany,2023-05-18,1
38,43,UK,2020-12-09,0
39,26,Canada,2024-06-24,0
40,21,India,2022-01-28,0
41,28,France,2025-01-12,0
42,22,Germany,2022-11-02,0
43,47,Canada,2022-01-29,0
44,53,India,2023-07-07,0
45,25,France,2024-07-14,1
46,35,France,2020-11-26,0
47,36,Germany,2023-10-26,0
48,18,France,2021-09-12,1
49,34,Canada,2022-05-19,1
50,50,India,2025-01-22,1
51,37,France,2023-05-31,0
52,30,USA,2021-03-07,0
53,28,Canada,2024-06-09,1
54,51,India,2021-01-25,0
55,49,India,2020-05-19,0
56,41,UK,2022-06-22,0
57,33,Canada,2022-07-12,1
58,23,France,2022-02-11,0
59,22,Canada,2021-03-17,1
60,26,France,2021-01-17,0
61,53,USA,2022-09-25,0
62,56,Germany,2023-01-03,1
63,52,France,2022-04-08,0
64,63,UK,2023-05-11,0
65,60,France,2024-10-13,0
66,51,Germany,2024-03-26,0
67,32,India,2021-10-23,0
68,55,Canada,2022-05-07,0
